year,mission_code,mission_label,plf_ceiling_eur,source
2026,AA,Action extérieure de l'État,3454425325.0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155 | https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
2026,AB,Administration générale et territoriale de l'État,5081543463.0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155 | https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
2026,AC,"Agriculture, alimentation, forêt et affaires rurales",4125856189.0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155 | https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
2026,AD,Aide publique au développement,3569384015.0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155 | https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
2026,MB,"Anciens combattants, mémoire et liens avec la Nation",1729987774.0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155 | https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
2026,VA,Cohésion des territoires,22570898614.0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155 | https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
2026,CA,Conseil et contrôle de l'État,866116724.0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155 | https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
2026,PC,Crédits non répartis,475000000.0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155 | https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
2026,CB,Culture,3744547181.0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155 | https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
2026,DA,Défense,66475476236.0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155 | https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
2026,DC,Direction de l'action du Gouvernement,1052475340.0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155 | https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
2026,TA,"Écologie, développement et mobilité durables",22762823002.0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155 | https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
2026,DB,Économie,3512606546.0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155 | https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
2026,EB,Engagements financiers de l'État,60341209199.0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155 | https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
2026,EC,Enseignement scolaire,89621003132.0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155 | https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
2026,GA,Gestion des finances publiques,11017882630.0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155 | https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
2026,IA,"Immigration, asile et intégration",2130584454.0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155 | https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
2026,AV,Investir pour la France de 2030,4397829332.0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155 | https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
2026,JA,Justice,12966577407.0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155 | https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
2026,MA,"Médias, livre et industries culturelles",702973552.0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155 | https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
2026,OA,Outre-mer,3277446171.0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155 | https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
2026,PB,Pouvoirs publics,1140179221.0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155 | https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
2026,RA,Recherche et enseignement supérieur,31633945500.0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155 | https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
2026,RB,Régimes sociaux et de retraite,6067878084.0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155 | https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
2026,RC,Relations avec les collectivités territoriales,3959044081.0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155 | https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
2026,SA,Santé,1888133258.0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155 | https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
2026,SB,Sécurités,25844617241.0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155 | https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
2026,SE,"Solidarité, insertion et égalité des chances",31281524154.0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155 | https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
2026,SF,"Sport, jeunesse et vie associative",1258895900.0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155 | https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
2026,TR,Transformation et fonction publiques,518293247.0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155 | https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
2026,TB,"Travail, emploi et administration des ministères sociaux",20820551935.0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155 | https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
2026,RD,Remboursements et dégrèvements,145600362742.0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155 | https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
